Term,Year,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Exercise,Greek,TV,GPA,Award,Pulse,Pierces,Gender,Sport,Tattoo,Facebook
F06,2,69inches,230 pounds,No,r,0,1,20,No,6,2.9,Olympic,60,5,M,NA,NA,NA
F06,1,66inches,110 pounds,No,r,1,2,14,No,6,NA,Olympic,60,3,F,NA,NA,NA
S07,2,67inches,140 pounds,No,r,1,1,5,No,2,3.25,Olympic,80,0,M,NA,NA,NA
S07,1,71inches,172 pounds,No,r,1,1,14,No,2,2.82,Olympic,78,0,M,NA,NA,NA
S07,2,62inches,120 pounds,No,r,1,1,5,No,1,3.27,Nobel,84,2,F,NA,NA,NA
S07,1,65inches,130 pounds,No,r,2,2,14,No,3,3.57,Olympic,72,2,F,NA,NA,NA
S07,1,67inches,150 pounds,No,r,0,1,4,No,3,3.3,Nobel,85,2,F,NA,NA,NA
S07,3,68inches,140 pounds,No,r,1,2,10,No,3,2.5,Nobel,60,6,F,NA,NA,NA
S07,2,69inches,160 pounds,No,r,2,2,14,No,4,3.5,Olympic,65,0,M,NA,NA,NA
S07,2,70inches,155 pounds,No,r,1,2,12,No,5,3.33,Olympic,62,0,M,NA,NA,NA
S07,2,68inches,137 pounds,No,l,2,2,14,No,10,3.3,Olympic,60,0,F,NA,NA,NA
S07,1,68inches,130 pounds,No,r,2,1,7,No,6,2.4,Olympic,71,2,F,NA,NA,NA
S07,NA,63inches,123 pounds,No,r,2,1,5,No,4,NA,Nobel,90,2,F,NA,NA,NA
S07,1,72inches,160 pounds,No,r,0,1,3,No,6,3,Academy,90,0,M,NA,NA,NA
S07,1,73inches,205 pounds,No,r,1,1,2,No,5,3.51,Olympic,86,0,M,NA,NA,NA
S07,2,65inches,138 pounds,No,r,3,3,2,No,1,3.89,Nobel,78,2,F,NA,NA,NA
S07,1,70inches,170 pounds,No,r,3,2,8,No,2,3.88,Nobel,70,0,M,NA,NA,NA
S07,3,61inches,NA pounds,No,l,2,2,3,No,6,2.8,Nobel,60,7,F,NA,NA,NA
S07,1,70inches,145 pounds,No,r,4,4,5,No,2,3.6,Academy,55,0,M,NA,NA,NA
S07,3,63inches,110 pounds,No,r,1,1,3,No,1,3.1,Nobel,78,0,M,NA,NA,NA
S07,1,64inches,NA pounds,No,r,2,2,8,No,4,3.4,Nobel,65,5,F,NA,NA,NA
S07,1,73inches,195 pounds,No,r,3,4,20,No,20,3.5,Olympic,58,0,M,NA,NA,NA
S07,2,68inches,125 pounds,No,r,0,1,5,No,3,3,Nobel,80,4,F,NA,NA,NA
S07,2,67inches,120 pounds,No,r,1,2,4,No,3,3.4,Nobel,82,4,F,NA,NA,NA
S07,1,76inches,275 pounds,No,r,1,2,7,No,5,3.6,Nobel,71,0,M,NA,NA,NA
S07,3,75inches,160 pounds,No,r,1,2,10,No,1,2.8,Olympic,84,0,M,NA,NA,NA
S07,1,68inches,142 pounds,No,r,3,4,3,No,3,2.6,Olympic,50,0,M,NA,NA,NA
S07,1,70inches,135 pounds,No,r,1,2,NA,No,NA,NA,Nobel,NA,0,M,NA,NA,NA
S07,1,68inches,140 pounds,No,r,0,1,5,No,4,3.69,Nobel,69,2,F,NA,NA,NA
S07,1,66inches,128 pounds,No,r,1,1,10,No,10,2.77,Olympic,94,8,F,NA,NA,NA
S07,1,68inches,NA pounds,No,r,1,2,9,No,3,NA,Nobel,48,6,F,NA,NA,NA
S07,1,64inches,116 pounds,Occasionally,r,1,2,2,No,18,2.9,Academy,80,4,F,NA,NA,NA
S07,4,72inches,174 pounds,No,l,1,2,7,No,20,3.3,Olympic,80,0,M,NA,NA,NA
S07,2,71inches,175 pounds,No,r,1,1,4,No,21,3.05,Nobel,72,0,M,NA,NA,NA
S07,1,72inches,175 pounds,Regular,r,2,3,12,No,5,2.2,Olympic,65,0,M,NA,NA,NA
S07,1,63inches,135 pounds,No,r,3,3,5,No,4,2.6,Olympic,60,3,F,NA,NA,NA
S07,1,72inches,165 pounds,Occasionally,l,1,1,25,No,5,2.25,Olympic,48,3,M,NA,NA,NA
S07,1,63inches,NA pounds,No,r,1,1,6,No,2,3,Olympic,70,6,F,NA,NA,NA
S07,1,72inches,155 pounds,No,r,2,2,9,No,6,3,Olympic,80,0,M,NA,NA,NA
S07,3,75inches,185 pounds,Regular,r,1,2,12,No,5,3,Nobel,76,0,M,NA,NA,NA
S07,1,72inches,195 pounds,No,r,2,2,10,No,20,3.1,Olympic,60,1,M,NA,NA,NA
S07,2,NAinches,NA pounds,No,r,2,2,3,No,2,3.5,Nobel,88,2,F,NA,NA,NA
S07,1,65inches,130 pounds,No,r,2,1,9,No,6,NA,Academy,88,4,F,NA,NA,NA
S07,2,67inches,140 pounds,No,r,3,4,NA,No,2,3,Olympic,64,2,M,NA,NA,NA
S07,1,69inches,165 pounds,No,l,5,6,14,No,5,3.58,Olympic,NA,4,F,NA,NA,NA
S07,4,71inches,175 pounds,Occasionally,r,0,1,8,Yes,12,3.3,Olympic,72,0,M,NA,NA,NA
S07,2,70inches,149 pounds,No,l,2,3,NA,Yes,NA,3.3,Nobel,NA,0,M,NA,NA,NA
S07,1,62inches,110 pounds,No,r,1,1,5,No,3,3.4,Olympic,72,2,F,NA,NA,NA
S07,1,65inches,128 pounds,No,r,3,1,4,Planning,3,2.8,Academy,88,2,F,NA,NA,NA
S07,1,64inches,143 pounds,No,r,2,2,5,No,4,3.25,Olympic,84,3,F,NA,NA,NA
S07,1,64inches,115 pounds,No,r,2,1,5,No,5,NA,Academy,68,2,F,NA,NA,NA
S07,2,64inches,135 pounds,Occasionally,r,3,2,13,No,4,2.6,Olympic,72,6,F,NA,NA,NA
